prompt,prompt_len,target
House G.O.P. Signals Break With Trump Over Tariff Threat.,16,True
"Chinese Activist Chen Yunfei Is to Stand Trial, Lawyer Says.",15,False
"A Year After Charlottesville, Disarray in the White Supremacist Movement.",15,False
Pope and Russian Orthodox Leader Meet in Historic Step.,11,False
Afghan Leader Says U.S. Abets Taliban’s Goal.,15,False
Sunni Lawmakers to Boycott Iraqi Parliament Over Shiite Militias.,16,False
Rebels in Eastern Ukraine Dream of Reviving Soviet Heyday.,14,False
Syria Willing to Let Some Leave Area It Barricaded.,13,False
A Chinese Official Tests a New Political Approach.,10,False
Al-Baghdadi Raid Was a Victory Built on Factors Trump Derides.,17,True
European Diplomats Speak Out Against Trump’s Opposition to Iran Deal.,15,True
"Trump Discloses Cohen Payment, Raising Questions About Previous Omission.",14,True
Body Count Rises as Philippine President Wages War on Drugs.,12,False
The Deficit Deal That Wasn’t: Hopes Are Dashed.,14,False
Business Class Rises in Ashes of Caste System.,10,False
Hillary Clinton and Donald Trump Scramble to Make Their Final Pleas.,13,True
Jeff Sessions Says He Would Be Independent and Stand Up to Trump.,14,True
U.S. Is Investigating Jane Sanders Over Burlington College Bank Loan.,15,False
"Fugitives, and Others, in Pursuit of Vice Find Thailand’s Liberties to Be a Virtue.",21,False
German Lawmakers Spar Over Child Care Subsidy.,11,False
"For Aging Belarus Rockers, a Late Shot at Stardom.",14,False
Fear and Loyalty: How Donald Trump Took Over the Republican Party.,14,True
Donald Trump Takes to Solo Stage Instead of G.O.P. Debate.,17,True
Northern Spy Lifts Cloak on Koreas’ Deadly Rivalry.,14,False
Forbidden Afghan Couple Are Reunited After Arrests.,11,False
Accord Brings New Sense of Urgency to Israeli-Palestinian Conflict.,15,False
China Curbs Fancy Tombs That Irk Poor.,12,False
Well-Trod Path: Political Donor to Ambassador.,12,False
Two More Trump Staff Members Test Positive for Coronavirus After Tulsa Rally.,14,True
"Beto O’Rourke Moving Toward a 2020 Race He Could Upend, Ready or Not.",24,False
"Egyptian Prosecutor Orders Release of Hosni Mubarak, President Toppled in 2011.",20,False
Trump Administration Imposes New Sanctions on Putin Cronies.,12,True
"Mueller Hopes Obstruction Inquiry Into Trump May Wrap Up by Sept. 1, Giuliani Says.",21,True
"Trump Leaves Hospital, Minimizing Virus and Urging Americans ‘Don’t Let It Dominate Your Lives’.",23,True
"Don McGahn to Leave White House Counsel Job This Fall, Trump Says.",16,True
U.S. Military Scrutinizes Leaks for Risks to Afghans.,15,False
David Cameron Seeks New Powers to Combat Extremism in Britain.,14,False
U.S. Sanctions Turn Iran’s Oil Industry Into Spy vs. Spy.,18,False
Dr. Jack Kevorkian Dies at 83; A Doctor Who Helped End Lives.,20,False
Trump Administration Approves Start of Formal Transition to Biden.,12,True
What the Trump Presidency Means for the Supreme Court.,11,True
"On Day 3, Justices Weigh What-Ifs of Health Ruling.",16,False
"Greg Escalante, Champion of ‘Lowbrow’ Art, Dies at 62.",19,False
A Conservative With a Common Touch.,8,False
Pennsylvania Remains Up for Grabs as Trump and Biden Assert Confidence.,14,True
"As Open Enrollment for Obamacare Begins, Confusion Reigns.",11,False
"2 Front-Runners, Donald Trump and Hillary Clinton, Find Their Words Can Be Weapons.",19,True
"When Trump Phones Friends, the Chinese and the Russians Listen and Learn.",15,True
Obama Presses Chinese on Global Warming.,8,False
‘We’ve Had Enough’: Conservatives Relish the ‘Fury’ in Trump’s Talk.,21,True
"As Trump Again Rejects Science, Biden Calls Him a ‘Climate Arsonist’.",18,True
Trump’s Attempt to Circumvent Congress Leaves Uneasy Senate Republicans With Hard Choice.,18,True
Boris Johnson Accused of Worsening Briton’s Plight in Iran.,16,False
Paul Diverges From His Party Over Voter ID.,11,False
Supreme Court Lets Trump Proceed on Border Wall.,10,True
Mormons’ Distaste for Donald Trump Puts Utah Up for Grabs.,17,True
"Midterms, for Clinton Team, Aren’t All Gloom.",15,False
House Passes $733 Billion Defense Bill Checking Trump’s War Powers.,17,True
Trump’s Top Economist Says Corporate Tax Cuts Will Lift Workers’ Wages.,16,True
Trump’s Secrecy Fight Escalates as Judge Rules for Congress in Early Test.,18,True
"$12 Million Iranian Embassy Is Empty, but the U.S. Cuts the Grass.",20,False
Iran’s Swift Release of U.S. Sailors Hailed as a Sign of Warmer Relations.,22,False
"Weakened Democrats Bow to Voters, Opting for Total War on Trump.",17,True
"Egypt’s President, Hoping to Be Allowed to Stay in Office Until 2034, Basks in Trump’s Embrace.",29,True
Wen Calls for Political Reform but Sidesteps Details.,11,False
"Thugs, Leeches, Shouting and Shoving at Trump Hotel in Panama.",18,True
Hurricane Florence Is a Formidable Test for FEMA and Trump.,13,True
U.N. Offers Regret but No Compensation for Kosovo Poisoning Victims.,16,False
Popular Domestic Programs Face Ax Under First Trump Budget.,11,True
"For Americas Summit, a Peruvian Seaside Locale, and Plenty of Trouble.",15,False
Trump’s Trade Threats Put China’s Leader on the Spot.,15,True
Ricin Suspected in Mail Sent to Trump and Pentagon Officials.,14,True
Seeing Path to Justice in Video of Shooting on Bystander’s Phone.,16,False
Chasing the Lure of a Royal Past With Greyhound Racing in Punjab.,14,False
Nepal’s Bureaucracy Is Blamed as Earthquake Relief Supplies Pile Up.,16,False
Ireland Bars American Pastor Accused of Hate Speech.,11,False
"In India, Air So Dirty Your Head Hurts.",11,False
"Under O’Brien, N.S.C. Carries Out Trump’s Policy, but Doesn’t Develop It.",27,True
A China Hawk Gains Prominence as Trump Confronts Xi on Trade.,16,True
Netanyahu Denounced for Saying Palestinian Inspired Holocaust.,11,False
Trump Campaign Aides Had Repeated Contacts With Russian Intelligence.,12,True
"U.S. Weighs Steel Quotas, Instead of Tariffs, on Canada and Mexico.",21,False
Trump’s Unparalleled War on a Pillar of Society: Law Enforcement.,16,True
"In Rebuke to Iran’s President, Courts Void Release of Hikers.",18,False
"A Gyrating Economy, and Trump’s Volatile Approach to It, Raise Alarms.",20,True
"As Deadline on Nuclear Deal Nears, Israel and Iran Issue Warnings.",15,False
"Trump Unites Left and Right Against Troop Plans, but Puts Off Debate on War Aims.",19,True
Released Emails Suggest the D.N.C. Derided the Sanders Campaign.,17,False
Jeff Sessions Says He Would Be Independent and Stand Up to Trump.,14,True
"Migrants and Smugglers Won’t Be Stopped by Donald Trump’s Wall, Ranchers Say.",23,True
Trump Accuses Jewish Democrats of ‘Great Disloyalty’.,12,True
"Trump, in Another Apparent Reversal, Says Trans-Pacific Trade Pact Has ‘Too Many Contingencies’.",22,True
"For Trump and Europe, a Surprising Role Reversal.",13,True
Leaker Files for Asylum to Remain in Russia.,11,False
"As Migrant Caravan Splinters, Trump Takes Credit and Mexico Scoffs.",15,True
Saudi Prince’s White House Visit Reinforces Trump’s Commitment to Heir Apparent.,18,True
"In 3 Key States That Elected Trump, Bitter Divisions on Reopening.",16,True
"On the Mexican Border, a Case for Technology Over Concrete.",13,False
G.O.P. Makes Gains Toward Narrowing the Gap in the Senate.,18,False
Mueller Delivers Report on Trump-Russia Investigation to Attorney General.,15,True
"State Dept. Dissent Cable on Trump’s Ban Draws 1,000 Signatures.",20,True
Pompeo Emerges as a Major Trump Enabler in Ukraine Affair.,15,True
Congress Sees Rising Urgency on Fiscal Deal.,10,False
"Don Imus, Radio Host Who Pushed Boundaries, Dies at 79.",18,False
Michelle Obama Makes Ardent Case for Hillary Clinton.,11,False
Hitting Pause in Afghanistan.,7,False
Trump Declares ‘America First’ Policy a Success After Asia Trip.,15,True
Trump Administration to Lift Ban on ‘Trophy’ Elephant Imports.,14,True
"Amid Debate, Turkey Unveils Rail Tunnel Under Bosporus.",13,False
Central African Republic: Hospital Raid.,8,False
A Presidential Storm Leaves Forecasters Rebuked.,11,False
Trump Nominates Neil Gorsuch to the Supreme Court.,13,True
Australia’s Catholic Leaders Reject Call to Report Sex Abuse Heard in Confessions.,16,False
"Kansas Limits Abortion Method, Opening a New Line of Attack.",13,False
Time in House Could Be Short for Republican Newcomers.,12,False
"Trump Authorizes Tariffs, Defying Allies at Home and Abroad.",15,True
"U.S. Troops to Leave Iraq by Year’s End, Obama Says.",18,False
Zimbabwean Pushed From Mugabe’s Inner Circle Now Challenges It.,15,False
House Votes to Restrain Trump’s Iran War Powers.,13,True
Statues Placed in South Korea Honor ‘Comfort Women’ Enslaved for Japan’s Troops.,21,False
Trump Greets Plans for North Korea-Syria Meeting With Deafening Silence.,16,True
Optimism From Hillary Clinton and Darkness From Donald Trump at Campaign’s End.,17,True
U.S. Accuses Chinese Nationals of Infiltrating Corporate and Government Technology.,18,False
Myanmar to Curb Censorship of Media.,9,False
"As President Trump Bashes NATO, Republicans Are Largely Silent.",14,True
Japan Plans to Spend $120 Billion to Stimulate Slowing Economy.,17,False
There’s Trump’s Foreign Policy and Then There’s His Administration’s.,19,True
"The Election Is Over, but Trump Can’t Seem to Get Past It.",17,True
Al Franken to Resign From Senate Amid Harassment Allegations.,13,False
"2 Afghan Sisters, Swept Up in a Suicide Wave.",13,False
"Hoping for Asylum, Migrants Strain U.S. Border.",14,False
North Korea Keeps the World Guessing.,9,False
Donald Trump Drops Threat of New Hillary Clinton Investigation.,11,True
"In Visit to Kandahar, Karzai Outlines Anti-Taliban Plan.",17,False
"G.O.P. Plans Immediate Repeal of Health Law, Then a Delay.",19,False
Suicide Attack in Afghanistan Kills at Least 14 at Wrestling Match.,15,False
"In Final Stretch, Biden Defends Lead Against Trump’s Onslaught.",16,True
Doctor’s Bath for Corpses Reinvigorates Cold Cases.,15,False
Pakistan Flooding Disrupts Afghan War Supplies.,9,False
Two Judges Exemplify the Choice Trump Faces in a Supreme Court Pick.,16,True
Ex-Dictator Is Ordered to Trial in Guatemalan War Crimes Case.,16,False
"In Egypt, a Contender Emerges to Challenge President Sisi.",15,False
Trump Rally Fizzles as Attendance Falls Short of Campaign’s Expectations.,15,True
Iran’s Shaming of Young Dancer Draws Backlash.,13,False
"In Pursuit of Peace, Trump Generates Rare Friction With Netanyahu.",13,True
A Trump Tower Neighbor Is the Point Man for Europe’s Populists.,17,True
Trump Calls China a ‘Threat to the World’ as Trade Talks Approach.,16,True
International Court Adds Genocide to Charges Against Sudan Leader.,11,False
"Marlow W. Cook, Senator Who Groomed Mitch McConnell, Dies at 89.",20,False
How the Trump Administration Is Browbeating Big Pharma on Drug Prices.,15,True
U.S. Is Debating Ways to Shield Syrian Civilians.,16,False
How Kosovo Was Turned Into Fertile Ground for ISIS.,12,False
A Top Syrian Intelligence Officer Is Killed in Fighting.,11,False
Capitol Lacks Tests for Returning Senators While White House Tests Many in Trump’s Circle.,19,True
Prolonged Fight Feared in Egypt After Bombings.,12,False
Students in South Africa Protest Slow Pace of Change.,11,False
Souring World Views of Trump Open Doors for China and Russia.,14,True
U.S. Admits Role in February Killing of Afghan Women.,15,False
Donald Trump Calls on Russia to Find Hillary Clinton’s Missing Emails.,15,True
7 Dead as Fighter Jet Crashes Into Highway at British Airshow.,15,False
Pakistani Train Inferno Was Decades in the Making.,12,False
Trump Campaign Got Early Word Russia Had Democrats’ Emails.,12,True
Deadly Blast Comes at Sensitive Time for Russia.,10,False
Stacey Abrams Wants More Than the Vice Presidency.,10,False
Mike Pence Splits With Donald Trump on Paul Ryan Endorsement.,14,True
House Passes $733 Billion Defense Bill Checking Trump’s War Powers.,17,True
Poland: Radio Hosts Apologize.,9,False
Afghan Villagers Brought to Back Airstrike Report.,12,False
"As Tensions With Iran Escalated, Trump Opted for Most Extreme Measure.",17,True
"Trump Claims, With No Evidence, That ‘Millions of People’ Voted Illegally.",19,True
"Among the Ruins of Mexico Beach Stands One House, Built ‘for the Big One’.",18,False
Danger Lingers After Landslide Kills 8 in Washington State.,14,False
California Gives Expanded Rights to Noncitizens.,9,False
Trump Officials Float Idea of Narrow Bill to Extend Unemployment Benefits.,13,True
Trump Trade Adviser Warns That There Will Be No Quick Deal With China.,16,True
"Despite Gains, Night Raids Split U.S. and Karzai.",16,False
China’s Fast Rise Leads Neighbors to Join Forces.,12,False
Fears of the Future Haunt a Budding Generation of Afghan Strivers.,17,False
Abortion Ruling Could Create Waves of Legal Challenges.,11,False
Moody’s Warns of Downgrade for U.S. Credit.,17,False
"Eager to Adopt, Evangelicals Find Perils Abroad.",14,False
Anger Over Coup Trumps Payouts to Thai Farmers.,12,True
2 Trials and No Convictions Put Top Baltimore Prosecutor in a Bind.,16,False
"Trump Budget Is Heavy Lift, Even for G.O.P. Congress.",17,True
Doubts Fall on Afghan Police as Kidnappers Exact Dire Price.,16,False
TV Attack Ads Aim at Obama Early and Often.,11,False
Travelers Improvise to Find a Way Home.,11,False
Big Business in Bangladesh: Selling Fake Coronavirus Certificates.,11,False
Suspicions About Former Editor in Battle Over Story Complicate Hacking Scandal.,16,False
"Donald Trump Clung to ‘Birther’ Lie for Years, and Still Isn’t Apologetic.",23,True
"Mocking Critics, Donald Trump Says He Can Win Without Republican Unity.",15,True
Bank of England Rebuked Over ‘Missing’ $67 Billion of Cash.,18,False
Justice Dept. Investigating Years-Old Leaks and Appears Focused on Comey.,16,False
Church Office Failed to Act on Abuse Scandal.,10,False
"And Now, What Mexico Thinks of Donald Trump.",12,True
Iranian Exiles Struggle to Stay Involved.,9,False
Trump Imposes New Sanctions on Venezuela.,9,True
Trump Rules Out Complete Rollback of China Tariffs as Talks Continue.,15,True
Judge Blocks Trump Effort to Withhold Money From Sanctuary Cities.,13,True
Trump Says Saudi Account of Khashoggi Killing Is ‘Worst Cover-Up’ in History.,20,True
"Revoking Clearance, Trump Aims Presidential Power at Russia Inquiry.",14,True
"E.U. Nations Urged to Accept 160,000 Migrants.",21,False
Republican Senators Are Cool to Trump’s Choice for Top Intelligence Post.,15,True
At Least 5 Are Killed and 12 Are Missing as Storms Ravage Texas and Oklahoma.,21,False
Flashbacks to Florida in 2000 as Trump Heads to Court to Save His Presidency.,21,True
Some Donald Trump Voters Warn of Revolution if Hillary Clinton Wins.,13,True
"How Trump Has Reshaped the Presidency, and How It’s Changed Him, Too.",19,True
Donald Trump’s Campaign Stumbles as It Tries to Go Big.,15,True
Bannon in Limbo as Trump Faces Growing Calls for the Strategist’s Ouster.,20,True
Lawless Sinai Shows Risks Rising in Fractured Egypt.,12,False
Leaked British Cables Critical of Trump Lead to Diplomatic Uproar.,15,True
F.B.I. Raids Office of Trump’s Longtime Lawyer Michael Cohen; Trump Calls It ‘Disgraceful’.,27,True
Migrant Parents Wait and Hope for Their Children: ‘I Feel Like I’m Going to Die’.,22,False
Trump Says He’s ‘Standing’ With Xi (and With Hong Kong’s Protesters).,21,True
"2 Front-Runners, Donald Trump and Hillary Clinton, Find Their Words Can Be Weapons.",19,True
Hunting for an E.T. Castoff in a Most Terrestrial Place.,16,False
Trump Selects Amy Coney Barrett to Fill Ginsburg’s Seat on the Supreme Court.,19,True
Trump Diatribe Belittles Impeachment as ‘Attempted Coup’ on Eve of Votes.,21,True
Trump’s Middle East Peace Plan Faces Dimmer Prospects Than Ever.,15,True
Trump Gives White Supremacists an Unequivocal Boost.,12,True
Brazil’s Graft-Prone Congress: A Circus That Even Has a Clown.,19,False
"Ohioans, Tired of Status Quo, Flipped to Trump for Change.",16,True
Mattis Says Escalation Against ISIS Doesn’t Imperil More Civilians.,18,False
"With Impeachment as Backdrop, Democrats Direct Fire at Trump in Debate.",17,True
"As President Trump Bashes NATO, Republicans Are Largely Silent.",14,True
Trump Taps Hollywood’s Mnuchin for Treasury and Dines With Romney.,17,True
Trump to Make ‘Major Announcement’ on Border as Democrats Sweeten Offer.,16,True
"From Truman to Trump, Queen Elizabeth Has Met 12 U.S. Presidents.",19,True
Trump Cites Familiar Argument in Ban on Transgender Troops.,13,True
Mick Mulvaney Tries Letting Trump Be Trump.,11,True
Crowds Scatter as Baltimore Curfew Takes Hold.,11,False
"In Deal Trump Called ‘Dumb,’ U.S. Taking 50 Refugees From Australia.",20,True
"Once Labeled a Traitor, Korean Aims to Be a Hero.",15,False
Israel Bends Slightly on Settlement Building.,9,False
Key Supporters Are Forsaking Yemen Leader.,9,False
"Iraq’s Conflict, Reflected in a Family Tragedy.",13,False
Trump’s Orders on Coronavirus Relief Create Confusion.,11,True
"Trump Pardons Joe Arpaio, Who Became Face of Crackdown on Illegal Immigration.",18,True
"In Second Debate, Donald Trump and Hillary Clinton Spar in Bitter, Personal Terms.",17,True
Trump Uses Mount Rushmore Speech to Deliver Divisive Culture War Message.,15,True
Budget Stances Harden as Deadline Nears for Shutdown.,12,False
"Onetime Relic, Then Hipster Fad, Milkmen Embrace Flood of Clients.",17,False
Emails Show Michigan Aides Worried About Flint’s Water a Year Before Acting.,18,False
"In Cold War, U.S. Spy Agencies Used 1,000 Nazis.",20,False
A Border Crash and the Blurry Line Between the U.S. and Mexico.,18,False
Chinese Toddler Who Was Run Over Twice Dies.,10,False
Trump Threatens to Cut Funding if Schools Do Not Fully Reopen.,15,True
"Republicans Look to Reince Priebus, Trump’s Chief of Staff, to Bring Stability.",20,True
"Even on Religious Campuses, Students Fight for Gay Identity.",13,False
The ‘Pay What You Want’ Experiment at Synagogues .,14,False
