prompt,prompt_len,target
"After Losing Province in 2010, Afghan Taliban Strike Back .",16,False
"Lindsey Graham Welcomed Trump’s China Tariffs, Then Helped Companies Avoid Them.",18,True
China Quietly Extends Footprints Into Central Asia.,12,True
Trump Falsely Calls China Trade Agreement ‘Biggest Deal There Is’.,14,True
"China’s New President Sets Up a Potential Showdown, With Himself.",15,True
North Korea Fires Ballistic Missile a Day Before U.S.-China Summit.,17,True
China Asks U.S. to End Close-Up Military Surveillance.,16,True
"Coronavirus Survivors Want Answers, and China Is Silencing Them.",13,True
"Fearing China’s Rule, Hong Kong Residents Resist Extradition Plan.",16,True
China: Crackdown on ‘Vulgarity and Indecency’ Is Expected.,18,True
"Young and Alone, Facing Court and Deportation.",11,False
Obama to Call for End to N.S.A.’s Bulk Data Collection.,18,False
Trump’s New Judicial Litmus Test: Shrinking ‘the Administrative State’.,17,False
"Susannah Hunnewell, Publisher of The Paris Review, Dies at 52.",19,False
"A Fireworks Truck Explodes, Shattering a Bridge in China.",14,True
"With Just Three 9s, Cain Refigured Math for Taxes.",15,False
Yemen General Says Opposition Will Be Ally Against Terrorism.,11,False
Loyalties of Those Killed in Afghan Raid Remain Unclear.,13,False
Body of Pakistani Girl Killed in Texas School Shooting Is Returned Home.,14,False
Republican Convention Falls Short of TV Ratings Expectations.,10,False
End of China’s One-Child Policy Stings Its ‘Loneliest Generation’.,18,True
"Seeing Discolored Lawns, California Businesses Apply Dab of Green.",14,False
"China, Pursuing Strategic Interests, Builds Presence in Antarctica.",13,True
"With Its Eye on China, Japan Builds Up Military.",12,True
"200 Years On, U.K. Hunts for Grave of Man Called World’s 1st Black Sports Star.",27,False
China and Russia Block Referral of Syria to Court.,11,True
"Don Shula, N.F.L. Coach Who Won, and Won, and Won, Dies at 90.",27,False
China to Ease Longtime Policy of 1-Child Limit.,14,True
"An Aging Boy Band Calls It Quits, but Japan Can’t Let Go.",18,False
Justin Fairfax Puts Virginia Democrats in Bind on Impeachment.,13,False
China’s Pretty Boys Find a New Gig: Propaganda Films.,14,True
"In Tehran, Trial Begins of Americans Held as Spies.",12,False
Soft Power: Beijing Puts On a Show on Disputed South China Sea Island.,17,True
"At the Iranian Border, Iraqis Try to Keep a Virus From Entering.",16,False
China Debates Effect of Trial’s Rare Transparency.,11,True
Rick Scott Fends Off Charlie Crist in Testy Florida Governor’s Race.,17,False
Leaked Cables Offer Glimpses Into Relations of U.S. and China.,18,True
British Journalist and American Marine Die in Afghan Bomb Explosion.,12,False
North Korea Reveals Leader Is ‘Not Feeling Well’ .,12,False
Chicago Tactics Put Major Dent in Killing Trend.,10,False
"Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks.",21,True
"From a Space Station in Argentina, China Expands Its Reach in Latin America.",17,True
