prompt,prompt_len,target
Charles Krauthammer,5,1
" prize, the New York Drama Critics Award and the Tony Award for Best Play. In 2005 the Virginia Theatre on Broadway was renamed the August Wilson Theatre. Last year the Kennedy Center sponsored staged readings of the full ten-cycle series. This year, a revival of Fences will open on Broadway, taking Wilson's work back to where he had his great successes.  Sunday, February 22, 2009  A quiet word in your ear: do not expect too much of this gentle little three-character play. Don't over analyze it, and don't expect to the whip-smart verbal play typical of Tom Stoppard",137,1
"alizes racial ideologies, and through her use of a masked double voice creates tension between the two (Contending Forces 87). The use of “if only” before the second statement portrays this undercut sarcasm, subtly stabbing at the issue of the mulatto race, which arose from rape of black women by white men. However, even with a masked double voice and her appeal for racial uplift, the constructs in which her characters exist reaffirm a compliance with the dominant system that undermines Hopkins’s masked double voice, something Thomas Cassidy, in his paper “Contending Contexts: Pauline Hopkins",119,1
"When it comes to holistic health, the Students for Integrative Medicine (SIM) look at the big picture, the whole body and the entire realm of alternatives.  It was for this reason that the organization hosted “Introduction to Homeopathy,” a lecture held on Wednesday, April 13 with guest speaker Susan Samuel",63,0
" role of Gismonda (premiere) 1895  Magda by Hermann Sudermann, role of Magda  La Princesse Lointaine by Edmond Rostand, role of Mélissande (premiere) 1896   Lorenzaccio by Alfred de Musset, role of Lorenzaccio (premiere)  1897  Spiritisme by Victorien Sardou, role of Simone (premiere)  La Samaritaine by Edmond Rostand, role of Photine  Les Mauvais Bergers by Octave Mirbeau",113,1
" stroke types, and elucidate the exact mechanisms underlying the relationship between cardiac biomarkers and WMHs.  Author contributions ====================  C.W., S.Z., and M.L. conceived and designed the study; C.W. and J.L. collected the data and interpreted the neuroimaging; C.W., S.Z., and R.Y. performed the statistical analysis; C.W. drafted the manuscript; S.Z. contributed to critical revision of the manuscript. All authors reviewed and approved the submitted manuscript.  **Conceptualization:** Chenchen Wei, Shuting Zhang, Ming Liu",126,0
" to Ransquawk, organizers are considering a delay of up to two years, though they are hopeful it will only be a 45-day postponement. Japan has already spent $12 billion (USD) on preparations, while reports have suggested up to $3 billion of sponsorship revenue may be at rosk.  Other plans being considered involve holding the games without spectators, and/or scaling back the games.  Some organisers are pushing for a decision to be made quickly, warning that cancellation fees could rise the longer the decision is pushed-back. -Ransquawk  IOC president Thomas Bach",123,0
"// // // File: src/gentop.cc // Purpose: Toy ttbar event generator for testing. // Created: Jul, 2000, sss. // // CMSSW File      : src/gentop.cc // Original Author : Scott Stuart",57,0
" freedom of the roads and ""think time"". The movie screen constantly going by and driving into the peacefulness of the night. Full moons, the smell of honeysuckle in the Spring time and when it's rest time I enjoy relaxing in my little neat bunk, my home away from home. I call myself a Werner (Enterprise) warrior and stand strong in the face of all danger realizing I can and do go safely down the road with great joy in my heart knowing... my co-pilot is Jesus. There is so much more to say but I must - get on down the road.  Lucy Rose",123,0
". Only three players have options that allow them to be sent to the minor leagues without clearing waivers: Javy Guerra, Kenley Jansen and Josh Lindblom.  Guerra and Jansen won't be sent down; Guerra is the closer and Jansen is the primary eighth-inning man.  That means Lindblom could be the odd man out, even though he's arguably been the top performer out of the bullpen. Lindblom hasn't give up a run in the five innings he's pitched over three appearances.  Scully update  Vin Scully",113,1
", said at a Hill briefing organized by the group in a formal room that is usually home to the House Budget Committee. She cited recent polling that shows that younger voters are the strongest supporters of legalizing marijuana, but that backing for legalization is increasing among people of all ages.  At a news conference for the National Cannabis Industry Assoc., Rep. Jared Polis (D-Colo.) was asked how many members of Congress he thinks smokes pot. (Jeff Simon/The Washington Post)  The group also heard from Reps. Earl Blumenauer (D-Ore.), Dana Rohrabacher",117,1
" later revealed that he was an intravenous-drug user. This inspired Algren to incorporate drug use into the novel.  Reception  Annual National Book Awards were re-established in 1950 by the American book industry, recognizing books in three categories published in the United States during 1949. Nelson Algren and The Man With the Golden Arm won the Fiction award which is sometimes called ""the first National Book Award for Fiction"". Former first lady Eleanor Roosevelt made the presentation.  The novel is widely considered a classic of twentieth-century American literature.  Writing of Algren and the novel, Kurt Vonnegut",128,1
" of a queasy undergraduate scratching his pimples."" -- Virginia Woolf  ""My God, what a clumsy olla putrida James Joyce is! Nothing but old f**s and cabbage-stumps of quotations from the Bible and the rest, stewed in the juice of deliberate, journalistic dirty-mindedness."" -- D.H. Lawrence  Criticism of composer Richard Wagner:  ""I like Wagner's music better than any other music. It is so loud that one can talk the whole time without people hearing what one says. That is a great advantage."" -- Oscar Wilde",115,1
"'t been famous. They weren't there for William John Paul Gallagher.  But his mum always was, and that's why she was the only person he could reveal his dreams to.  'I remember Liam getting into music when he left school,' she recalls, 'and he sat out there in the kitchen and he said, ""I know I'm not much of a singer but I'm as good as anything out there and that's what I'm going to do.""'  Liam had a point: Manchester has a history of throwing up 'individual' vocalists. Morrissey, Mark E. Smith",128,0
" more destructive…and that is something we can plan for.”)  But that’s the nature of influence—it’s like climate change itself: You can’t always prove with spreadsheet certainty that it caused any one event—a cancelled documentary, a gubernatorial 180, a filibuster, an election result.  We do know, however, that money in politics and global warming are both man-made disasters that we’ve let get completely out of hand.  And if we stop the former, we might be able to slow the latter.  Read Katrina vanden Heuvel",120,1
" types of offenses being reported have spanned an enormous range. And it’s true that among these revelations, when compared with brutal acts of sexual violence, groping would seem like a relatively minor indiscretion. But many times it has been rhetorically lumped into this bucket of “bad behavior”—something that we obviously look down upon morally but that isn’t actually illegal.   Take, for example, the commentary around Franken, who recently resigned as senator after numerous women accused him of sexual harassment allegations, which included groping (most of which he has denied). In The New Yorker, Masha Gessen",123,1
" factual basis on which to stand. So they substitute name-calling.  Justice is something that exists outside the borders of the United States. Never expect to find justice within the United States.  Most Americans are unaware of the extent to which the federal government owns the experts who can contradict its fairy tales. For example, no competent physicist can possibly believe the official story of the destruction of the three WTC buildings. But physics departments in US universities are heavily dependent on federal money. Any physicist who speaks his mind jeopardizes not only his own career but also the career of all of his colleagues. Physicist Steven Jones",124,0
" Lent on some level. And that’s natural because it doesn’t appeal to our senses.  Let’s be honest, we’ve all been tempted to cut the Lenten corners:  “Let’s see…how about no alcohol…wait…scratch that… alcohol…I mean no beer (cuz then I can still have a bourbon in the evening); no desserts…desserts…I mean no chocolate (this is going to be brutal!); and of course, no television except for reruns of Person of Interest since it stars Jim Caviezel",116,0
"ávať právne záväzné štandardizované dobrovoľné zmluvy preložené do všetkých jazykov. Zároveň by som chcela vyzvať Komisiu, aby začala zohrávať aktívnejšiu úlohu pri riešení nevyriešených naliehavých otázok s cieľom skoncovať s fragmentáciou vnútorného trhu. Viviane Reding",89,1
"Category Archives: Ecumenism  On Monday, 18th December, the official opening was performed by Dr Mary McAleese",28,1
" Opponents have limited Mainz to completing a little less than 10% of their crosses in the Rückrunde and Aarón admits that Mainz need to return to their Hinrunde form. “We lack precision in the final third at the moment,” he said this week. It will be up to Aarón to help Mainz improve in that department.  Aaron of Mainz runs with the ball during the Bundesliga match between Hertha BSC and 1. FSV Mainz 05 at Olympiastadion on March 02, 2019 in Berlin, Germany. (Photo by Martin Rose",120,0
" on its latest phone.  Microsoft's oeuvre has evolved over the years. The original Surface was introduced with such a hilariously over-the-top dubstep soundtrack that we had no choice but to mock it by applying the same style to Ovaltine. It still makes videos where a camera lovingly pans over materials that magically float into place on a gadget, but more recent videos aim for a more nuanced emotional hit.  The Surface Studio was introduced last October with a cover of ""Pure Imagination"" from Willy Wonka & the Chocolate Factory that didn't improve on Gene Wilder",117,0
. “I want to say that the we [the conservatives] have also approved the policies [in the agreement] and the finance minister cannot simply do as he likes.”  Germany’s new coalition comes with risks for Europe – and Brexit | Alan Posener Read more  Some conservatives are unhappy with her decision to allow the SPD to spend a record budget surplus and to embrace their demands for European reform.    The SPD has criticised the “forced austerity” inflicted by Schäuble on southern European countries such as Greece and had vowed in the election campaign to boost investment.  Social Democrat Olaf Scholz,119,0
" differences. Like that first and typical woman, Christina Rossetti's work is still limited by a ""feminine guessiness as to means.""  #  **Notes**  1 Nancy Armstrong, ""The Occidental Alice,"" _Differences_ 2 (Summer 1990): 3–40.  2 Armstrong, p. 9. On the ""double-bodied image,"" see also Sander Gilman, ""Black Bodies, White Bodies: Toward an Iconography of Female Sexuality in Late Nineteenth-Century Art, Medicine, and Literature,"" in Henry Louis Gates, Jr.",119,1
" the ongoing ubiquity of racial injustice in the United States.  For most Canadians, however, racism in policing continues to be treated as an exclusively American phenomenon. In Canada, discussions around policing of black lives here are sidelined or ignored entirely. While Canada’s global reputation of racial tolerance is a source of national pride, it is accompanied by a reluctance to acknowledge the ongoing injustices faced by black communities here at home.  To those attuned to the realities of race and policing in Canada, the Starbucks incident is an all-too-familiar reminder of the violent police killing of Abdirahman Abdi",121,0
" killed just the day before delivery. Other pieces would have already been hanging for four weeks at the company's main butchery in Yorkshire before they arrived, the fat gray and the outer surfaces black, and once broken down yielding the deepest and most delicious maroon hue with a pungent smell unlike any other. The meat at GP wasn't cheap, that's for sure—almost fifty pounds per kilogram for tenderloin and anywhere upward of ten pounds per kilo for ground beef—but they had their demographic nailed. We served footballers and their wives, and actors and actresses that I'd seen on television. Nigella Lawson",125,1
"  Even through this glaze there are other contradictions. For all this, Guardiola has somehow managed to retain not just the moral high ground but an air of likable asceticism. He seems an oddly monk-like figure, known for the purity of his methods, the idealistic obsession with detail.  At times this can be endearingly comical. Even in the middle of the title stroll Guardiola spent Christmas Day watching videos of Newcastle, the kind of festive viewing choice that brings to mind the response of one exasperated friend to the news that the dying poet Philip Larkin",111,1
" Siddiqui, who promoted the death penalty for those who insult Muhammad and once said that “non-Islamic Dutch behave like dogs and b****s.”  The video shows an imam explaining to the children how Muslims pray, with the boys forced to stand on one side of the room with the girls on the other.  The children, most of whom are thought to be Christians, are told to put their ‘elbows on the ground’ and ‘hands close to the ears.’  Though the video was taken last year, it emerged after Harm Beertema, an MP for Geert Wilders",121,0
 Steffen Seibert (born 1960) Hajo Seppelt (born 1963) Klaus-Peter Siegloch (born 1946) Marietta Slomka (born 1969) Richard Sorge (1895-1944) Augustin Souchy (1892-1984) Axel Springer (1912-1985) Gabor Steingart (born 1962)  T  Peter Tamm (born 1928) Hartmann von der Tann (born 1943) Thaddäus Troll (1914-1980) Kurt Tucholsky,148,1
", Thai students mobilized hundreds of thousands of citizens against their military dictator, and after seventy-three were gunned down, they also won a short-lived democracy. In 1980, citizens in Gwangju courageously rose up against the brutality of the South Korean army. After driving the military out of the city, they governed themselves through citizens' general assemblies. Although overwhelmed by the army (abetted by U.S. President Carter) at the cost of hundreds of lives, they continued their struggle to overthrow the junta in 1987 and to imprison former dictators Chun Doo-hwan and Roh Tae-woo",130,0
"’s published work, met with scholars and spoke with people who knew her. Actress Barbara Sukowa, who plays the title character, read Arendt’s work in both English, the language they were written in, and in Arendt’s native German.  Scenes are spoken in the language they would have been in real life, reflecting Arendt’s statelessness, contributing to a feeling of loss which permeated her work. In one scene, German ex-pats discuss politics in Arendt’s apartment. Arendt’s friend, English-speaking Mary McCarthy",118,1
"Everyone can empathise with Saroo. We’ve all, as children, felt that moment of panic when separated from our parents or an older sibling at a busy market or transit hub. (For me, it was a public pool.) And as adults we’ve all spent entire nights, eyes burning, click-click-clicking on the internet to find something we know we’ll eventually find, just another minute, it’s gonna be the next one, it’s gonna be the next one.  Of course for Saroo (played by Sunny Pawar as a child and Dev Patel",122,0
José Mourinho,3,0
".  In this book I offer a few thoughts on the relationship between mind and universe as seen through the lenses of two innovative fields of scientific research—neuroscience, and the search for extraterrestrial intelligence, or SETI.  Neuroscience has begun to reveal some fascinating things about how the brain works, shedding light on the concept of personal identity, the data-handling limitations of the central nervous system, and the way that the brain smooths over its liabilities and discontinuities to sustain a sense of unified consciousness. We are beginning to realize that each of us really does contain multitudes, as Walt Whitman",122,1
" opening stages which included chances created at either end.  Defoe’s low drive from 20 yards was scooped up by Simon Mignolet – returning to his former club – before Sturridge and then Georginio Wijnaldum had efforts repelled by Vito Mannone.  Better saves were then required from the two goalkeepers, with Jack Rodwell first denied after sending a well-struck blast towards the bottom corner and Sturridge subsequently seeing a curler clawed out at the last.  He did break the deadlock on 19 minutes, however.  Dejan Lovren",120,0
"Levitin, Daniel J. This Is Your Brain on Music. New York: Penguin Books, 2007.  Marvin, Jameson. The Conductor's Process from Five Centuries of Choral Music: Essays in Honor of Howard Swan. Ed. Gordon Paine. Hillsdale, NY: Pendragon Press, 1988.  Sacks, Oliver. Musicophilia. New York: Alfred A. Knopf, 2008.  Storr, Anthony. Music and the Mind. New York: Free Press, 1992.  Chapin, Heather, Kelly Jantzen, J. A. Scott",133,0
"expressionist painter.  He is known for his Wigan Style and Wigan figure paintings. These together with his London scenes, Wigan street scenes, are his most sought after works.  Isherwood was a friend of the artist L. S. Lowry, who purchased his Woman with Black Cat and displayed it at his home. Lowry paid £5 for the picture from Isherwood's Av Guard exhibition in Manchester.  Other known collectors include Prince Charles, who bought one of Isherwood's seascapes from a sale held at Cambridge University. The former Director General of the BBC Hugh Greene",121,1
" by viewers exposed at an impressionable age. For prestige there was and remains Virginia Woolf. For auteurists, there was Three on a Couch and Torn Curtain, and perhaps Modesty Blaise. As for the rest, most were and are still decried as junk.  Things were not looking good for American cinema. The Sound of Music had just won the Best Picture Oscar, a middlebrow shot across critics’ bow, and Pauline Kael was turning angry firepower on the massive threat posed by The Singing Nun. In the summer, the Times lambasted Hitchcock and Jerry Lewis",117,0
"--the ones that stem from what happened with my third husband. I have dozens of those--and they will some day be a book, as the words inside those pages all relate to what I write about here. He's why I discovered my special brand of BIKE, and for that I'm grateful. It says so in one of my journals. :-)  You see, writing has always been a source of comfort for me. It could be one for you as well.  If you have never tried journaling, a good source of inspiration, and one way to learn about its powerful effects is by reading Julia Cameron",127,1
" and rusting in the back of the garage. Wearying of what he regards as the deluded idealism of the liberty-touting Bush doctrine, _National Review_'s John Derbyshire began promoting the slogan ""Rubble Doesn't Cause Trouble."" Cute, and I wish him well with the T-shirt sales. But, in arguing for a ""realist"" foreign policy of long-range bombing as necessary, he overlooks the very obvious point that rubble causes quite a lot of trouble: the rubble of Bosnia is directly responsible for radicalizing a generation of European Muslims, including Daniel Pearl",119,1
