prompt,prompt_len,target
Margaret of Clisson,5,0
Lengvenis,4,1
"Margaret of Savoy, Duchess of Anjou",9,0
Andreas Rudolph,3,1
Burchard of Worms,6,1
Adolph Strecker,5,1
"Sophie, Countess of Bar",6,0
Cornelis Schrevel,6,1
Beatrice of Bohemia,4,0
Domenico da Gravina,6,1
Johann Konrad Wilhelm Löhe,6,1
Gjergj Arianiti,6,1
Catherine of Braganza,5,0
Ibn Futays,5,1
Stefano Felis,4,1
"Ralph I, Lord of Coucy",8,1
Ida of Toggenburg,6,0
Élie de Nabinal,6,1
Renier de Huy,5,1
Empress Liu,4,0
Jean-Nicolas Geoffroy,6,1
Mary L. Good,5,0
Doubravka of Bohemia,6,0
Margaret Elisabeth of Leiningen-Westerburg,10,0
Richard Mühlfeld,4,1
Edward of Norfolk,4,1
Elizabeth FitzAlan,4,0
Jacopo di Cione,6,1
Henry of Saxony,4,1
John William Gerard de Brahm,7,1
Heo Gyun,5,1
Dorothea of Schleswig-Holstein-Sonderburg-Glücksburg,14,0
Jacqueline Pascal,3,0
Gunilla Bielke,5,0
Karl Koch,3,1
Andrea Ciccione,4,1
Richard Savage,3,1
Li Qingzhao,5,0
"Rudolph I, Count Palatine of Tübingen",9,1
Gottfried von Hohenlohe,7,1
Carl Ritter,3,1
Cleopatra I Syra,6,0
"Sancha of Castile, Queen of Aragon",9,0
Sibylle of Brandenburg,5,0
Barbara Edelpöck,6,0
Sophia von Dyhrn,6,0
An Shigao,4,1
"Adalbert I, Count of Bogen",8,1
Anna of Hungary,4,0
Juan Mathé de Luna,6,1
Hans von Fersen,5,1
Peter of Navarre,4,1
Louise of Stolberg-Wernigerode,10,0
Queen Gongye,4,0
"Arnold, Lord of IJsselstein",9,1
Richard Bancroft,3,1
Dorothea of Montau,6,0
Sergius III of Amalfi,7,1
Saint Beatrice d'Este,6,0
Henrietta Catherine Agnes of Anhalt-Dessau,11,0
Viridis Visconti,4,0
"Bernard, son of Charles Martel",7,1
Ludwig von Helmstatt,5,1
Aldegonde,5,0
Alix de Montmorency,7,0
Zhu Zhen,3,1
Johann Michael Hahn,4,1
Georg Rafael Donner,4,1
"John de la Pole, 2nd Duke of Suffolk",12,1
Marguerite of Merania,6,0
Ida of Toggenburg,6,0
Edward Cave,3,1
Ide Pedersdatter Falk,7,0
Reinhard I von Runkel Edelherr von Westerburg,12,1
Roger de Vautort,6,1
Rosina von Graben von Rain,8,0
Barbara of Brandenburg,4,0
Guido of Acqui,5,1
Bello of Carcassonne,5,1
John Tzetzes,5,1
Hasan al-Rammah,7,1
Beatrix of Andechs-Merania,10,0
Clara Immerwahr,5,0
"Geoffrey, Count of Ragusa",7,1
Hildegard Knef,5,0
Miklós Zrínyi,6,1
Countess Magdalena of Waldeck,7,0
Wen Yang,3,1
"Elizabeth of Hesse-Kassel, Duchess of Mecklenburg",11,0
Alexandra Feodorovna,5,0
Hedwig of Saxony,5,0
Marguerite d'Évreux,8,0
Theodora Doukaina Selvo,8,0
"Margaret, Duchess of Norfolk",6,0
Clare of Montefalco,6,0
Anna of Ryazan,5,0
Kateryna Yushchenko,7,0
Mary Shelley,3,0
Archduke Wenceslaus of Austria,8,1
Gregory VI,3,1
Genevieve,3,0
"Elizabeth le Despenser, Baroness Berkeley",8,0
Raphael Levi Hannover,4,1
Charles Emmanuel II,4,1
Jean van den Bosch,5,1
"Thomas Seymour, 1st Baron Seymour of Sudeley",13,1
Lorenzo Pucci,4,1
Heinrich Wilhelm Brandes,5,1
Elisabeth Kulmann,4,0
Clara of Brunswick-Wolfenbüttel,8,0
"Pierre de Foix, le jeune",8,1
Karoline Luise of Hesse-Darmstadt,10,0
Richard I,3,1
Charles III of Naples,5,1
Joan II of Dreux,6,0
"John II, Duke of Cleves",8,1
Cyril Norman Hinshelwood,6,1
Max Reger,4,1
